LASTNAME,FIRSTNAME,BADGE LABEL,BADGE LEVEL
Kshlerin,Walter,Three year membership,2
Kshlerin,Walter,Two year membership,1
Kshlerin,Walter,One year membership,1
Rousseau,Eudora,Symfony Code Contributor,1
Rousseau,Eudora,Swiftmailer Documentation Contributor,1
Rousseau,Eudora,Silex Documentation Contributor,1
Rousseau,Eudora,Four year membership,2
Rousseau,Eudora,Three year membership,2
Rousseau,Eudora,Two year membership,1
Rousseau,Eudora,One year membership,1
Evrard,Hollie,Silex Code Contributor,1
Evrard,Hollie,Monolog Documentation Contributor,1
Evrard,Hollie,Twig Documentation Contributor,1
Evrard,Hollie,Doctrine Documentation Contributor,1
Evrard,Hollie,Symfony Code Contributor,1
Evrard,Hollie,Helped write a book about Symfony,3
Evrard,Hollie,Doctrine Code Contributor,1
Evrard,Hollie,Symfony CMF Code Contributor,1
Evrard,Hollie,Composer Documentation Contributor,1
Evrard,Hollie,Swiftmailer Documentation Contributor,1
Evrard,Hollie,Composer Code Contributor,1
Evrard,Hollie,Five year membership,3
Evrard,Hollie,Four year membership,2
Evrard,Hollie,Three year membership,2
Evrard,Hollie,Two year membership,1
Evrard,Hollie,One year membership,1
Gomez,Kaycee,Doctrine Documentation Contributor,1
Gomez,Kaycee,Twig Documentation Contributor,1
Gomez,Kaycee,Monolog Code Contributor,1
Gomez,Kaycee,Symfony CMF Code Contributor,1
Gomez,Kaycee,Swiftmailer Documentation Contributor,1
Gomez,Kaycee,Doctrine Code Contributor,1
Gomez,Kaycee,Five year membership,3
Gomez,Kaycee,Four year membership,2
Gomez,Kaycee,Three year membership,2
Gomez,Kaycee,Two year membership,1
Gomez,Kaycee,One year membership,1
Flatley,Chandler,SensioLabs Certified Symfony Developer (Expert),3
Flatley,Chandler,Monolog Code Contributor,1
Flatley,Chandler,Monolog Documentation Contributor,1
Flatley,Chandler,Symfony Documentation Contributor,1
O'Kon,Lewis,Doctrine Documentation Contributor,1
O'Kon,Lewis,Composer Documentation Contributor,1
O'Kon,Lewis,Symfony CMF Code Contributor,1
O'Kon,Lewis,Composer Code Contributor,1
O'Kon,Lewis,SensioLabs Certified Symfony Developer (Expert),3
O'Kon,Lewis,Helped write a book about Symfony,3
O'Kon,Lewis,Silex Code Contributor,1
O'Kon,Lewis,Doctrine Code Contributor,1
O'Kon,Lewis,Swiftmailer Documentation Contributor,1
Vandervort,Adrian,Doctrine Documentation Contributor,1
Vandervort,Adrian,Doctrine Code Contributor,1
Vandervort,Adrian,Twig Documentation Contributor,1
Vandervort,Adrian,SensioLabs Certified Symfony Developer (Advanced),2
Vandervort,Adrian,Attended a training on Symfony2 (level 3) at SensioLabs,2
Vandervort,Adrian,Monolog Code Contributor,1
Vandervort,Adrian,Silex Code Contributor,1
Vandervort,Adrian,Helped write a book about Symfony,3
Vandervort,Adrian,Silex Documentation Contributor,1
Vandervort,Adrian,Twig Code Contributor,1
Vandervort,Adrian,Swiftmailer Documentation Contributor,1
Vandervort,Adrian,Eight year membership,3
Vandervort,Adrian,Seven year membership,3
Vandervort,Adrian,Six year membership,3
Vandervort,Adrian,Five year membership,3
Vandervort,Adrian,Four year membership,2
Vandervort,Adrian,Three year membership,2
Vandervort,Adrian,Two year membership,1
Vandervort,Adrian,One year membership,1
Herzog,Jacynthe,Twig Documentation Contributor,1
Herzog,Jacynthe,Doctrine Code Contributor,1
Herzog,Jacynthe,Symfony CMF Code Contributor,1
Herzog,Jacynthe,SensioLabs Certified Symfony Developer (Advanced),2
Herzog,Jacynthe,Attended a training on Symfony2 (level 3) at SensioLabs,2
Herzog,Jacynthe,Helped write a book about Symfony,3
Herzog,Jacynthe,Twig Code Contributor,1
Herzog,Jacynthe,Monolog Code Contributor,1
Herzog,Jacynthe,SensioLabs Certified Symfony Developer (Expert),3
Herzog,Jacynthe,Five year membership,3
Herzog,Jacynthe,Four year membership,2
Herzog,Jacynthe,Three year membership,2
Herzog,Jacynthe,Two year membership,1
Herzog,Jacynthe,One year membership,1
Bouchet,Bud,Swiftmailer Documentation Contributor,1
Bouchet,Bud,Symfony Documentation Contributor,1
Bouchet,Bud,Silex Code Contributor,1
Bouchet,Bud,Doctrine Code Contributor,1
Bouchet,Bud,Silex Documentation Contributor,1
Bouchet,Bud,Doctrine Documentation Contributor,1
Bouchet,Bud,Attended a training on Symfony2 (level 3) at SensioLabs,2
Bouchet,Bud,Composer Documentation Contributor,1
Bouchet,Bud,Swiftmailer Code Contributor,1
Bouchet,Bud,Symfony CMF Code Contributor,1
Bouchet,Bud,SensioLabs Certified Symfony Developer (Expert),3
Bouchet,Bud,Twig Code Contributor,1
Bouchet,Bud,Helped write a book about Symfony,3
Bouchet,Bud,Eight year membership,3
Bouchet,Bud,Seven year membership,3
Bouchet,Bud,Six year membership,3
Bouchet,Bud,Five year membership,3
Bouchet,Bud,Four year membership,2
Bouchet,Bud,Three year membership,2
Bouchet,Bud,Two year membership,1
Bouchet,Bud,One year membership,1
Bruneau,Luigi,Doctrine Documentation Contributor,1
Bruneau,Luigi,Monolog Documentation Contributor,1
Bruneau,Luigi,Silex Documentation Contributor,1
Bruneau,Luigi,Doctrine Code Contributor,1
Bruneau,Luigi,Twig Code Contributor,1
Bruneau,Luigi,Symfony Code Contributor,1
Bruneau,Luigi,SensioLabs Certified Symfony Developer (Advanced),2
Bruneau,Luigi,Symfony CMF Code Contributor,1
Bruneau,Luigi,Swiftmailer Documentation Contributor,1
Bruneau,Luigi,Silex Code Contributor,1
Bruneau,Luigi,Twig Documentation Contributor,1
Bruneau,Luigi,Two year membership,1
Bruneau,Luigi,One year membership,1
Navarro,Demetrius,Helped write a book about Symfony,3
Navarro,Demetrius,Doctrine Documentation Contributor,1
Navarro,Demetrius,Doctrine Code Contributor,1
Navarro,Demetrius,Two year membership,1
Navarro,Demetrius,One year membership,1
Jacquet,Art,Monolog Documentation Contributor,1
Jacquet,Art,Composer Code Contributor,1
Jacquet,Art,Doctrine Documentation Contributor,1
Jacquet,Art,Composer Documentation Contributor,1
Jacquet,Art,Monolog Code Contributor,1
Jacquet,Art,Helped write a book about Symfony,3
Jacquet,Art,Symfony Documentation Contributor,1
Jacquet,Art,Five year membership,3
Jacquet,Art,Four year membership,2
Jacquet,Art,Three year membership,2
Jacquet,Art,Two year membership,1
Jacquet,Art,One year membership,1
Kiehn,Arvid,Doctrine Code Contributor,1
Kiehn,Arvid,Composer Documentation Contributor,1
Kiehn,Arvid,Swiftmailer Documentation Contributor,1
Kiehn,Arvid,Symfony Code Contributor,1
Kiehn,Arvid,Three year membership,2
Kiehn,Arvid,Two year membership,1
Kiehn,Arvid,One year membership,1
Predovic,Roosevelt,Silex Code Contributor,1
Predovic,Roosevelt,SensioLabs Certified Symfony Developer (Advanced),2
Predovic,Roosevelt,Doctrine Documentation Contributor,1
Predovic,Roosevelt,Doctrine Code Contributor,1
Predovic,Roosevelt,Symfony Code Contributor,1
Predovic,Roosevelt,Swiftmailer Code Contributor,1
Predovic,Roosevelt,Helped write a book about Symfony,3
Predovic,Roosevelt,Composer Code Contributor,1
Predovic,Roosevelt,Twig Documentation Contributor,1
Predovic,Roosevelt,Symfony CMF Code Contributor,1
Predovic,Roosevelt,Seven year membership,3
Predovic,Roosevelt,Six year membership,3
Predovic,Roosevelt,Five year membership,3
Predovic,Roosevelt,Four year membership,2
Predovic,Roosevelt,Three year membership,2
Predovic,Roosevelt,Two year membership,1
Predovic,Roosevelt,One year membership,1
Potier,Gregorio,Silex Code Contributor,1
Potier,Gregorio,SensioLabs Certified Symfony Developer (Advanced),2
Potier,Gregorio,Symfony Documentation Contributor,1
Potier,Gregorio,Symfony CMF Code Contributor,1
Potier,Gregorio,Doctrine Documentation Contributor,1
Potier,Gregorio,Swiftmailer Documentation Contributor,1
Potier,Gregorio,Composer Documentation Contributor,1
Potier,Gregorio,Twig Code Contributor,1
Potier,Gregorio,Monolog Documentation Contributor,1
Potier,Gregorio,Doctrine Code Contributor,1
Potier,Gregorio,SensioLabs Certified Symfony Developer (Expert),3
Potier,Gregorio,Silex Documentation Contributor,1
Potier,Gregorio,Symfony Code Contributor,1
Potier,Gregorio,Helped write a book about Symfony,3
Potier,Gregorio,Five year membership,3
Potier,Gregorio,Four year membership,2
Potier,Gregorio,Three year membership,2
Potier,Gregorio,Two year membership,1
Potier,Gregorio,One year membership,1
Salmon,Matt,Monolog Documentation Contributor,1
Salmon,Matt,Symfony CMF Code Contributor,1
Salmon,Matt,Doctrine Code Contributor,1
Salmon,Matt,Swiftmailer Documentation Contributor,1
Salmon,Matt,Seven year membership,3
Salmon,Matt,Six year membership,3
Salmon,Matt,Five year membership,3
Salmon,Matt,Four year membership,2
Salmon,Matt,Three year membership,2
Salmon,Matt,Two year membership,1
Salmon,Matt,One year membership,1
Gutmann,Camila,Symfony CMF Code Contributor,1
Gutmann,Camila,Swiftmailer Documentation Contributor,1
Gutmann,Camila,Doctrine Documentation Contributor,1
Gutmann,Camila,Composer Code Contributor,1
Gutmann,Camila,Composer Documentation Contributor,1
Gutmann,Camila,Attended a training on Symfony2 (level 3) at SensioLabs,2
Gutmann,Camila,Swiftmailer Code Contributor,1
Gutmann,Camila,Symfony Documentation Contributor,1
Gutmann,Camila,One year membership,1
Konopelski,Jermain,Doctrine Documentation Contributor,1
Konopelski,Jermain,Symfony Code Contributor,1
Konopelski,Jermain,Monolog Code Contributor,1
Konopelski,Jermain,Composer Documentation Contributor,1
Konopelski,Jermain,Swiftmailer Code Contributor,1
Konopelski,Jermain,Twig Documentation Contributor,1
Descamps,Meredith,Doctrine Code Contributor,1
Descamps,Meredith,Helped write a book about Symfony,3
Descamps,Meredith,SensioLabs Certified Symfony Developer (Expert),3
Descamps,Meredith,Twig Code Contributor,1
Descamps,Meredith,Composer Documentation Contributor,1
Descamps,Meredith,Monolog Code Contributor,1
Descamps,Meredith,Silex Code Contributor,1
Descamps,Meredith,Silex Documentation Contributor,1
Descamps,Meredith,Symfony CMF Code Contributor,1
Descamps,Meredith,Seven year membership,3
Descamps,Meredith,Six year membership,3
Descamps,Meredith,Five year membership,3
Descamps,Meredith,Four year membership,2
Descamps,Meredith,Three year membership,2
Descamps,Meredith,Two year membership,1
Descamps,Meredith,One year membership,1
Lejeune,Shyann,Helped write a book about Symfony,3
Lejeune,Shyann,Symfony Documentation Contributor,1
Lejeune,Shyann,Monolog Code Contributor,1
Lejeune,Shyann,Composer Code Contributor,1
Lejeune,Shyann,Monolog Documentation Contributor,1
Lejeune,Shyann,Symfony Code Contributor,1
Lejeune,Shyann,Twig Documentation Contributor,1
Lejeune,Shyann,Doctrine Documentation Contributor,1
Lejeune,Shyann,Four year membership,2
Lejeune,Shyann,Three year membership,2
Lejeune,Shyann,Two year membership,1
Lejeune,Shyann,One year membership,1
Nienow,Lenna,Silex Documentation Contributor,1
Nienow,Lenna,Monolog Code Contributor,1
Nienow,Lenna,Twig Code Contributor,1
Nienow,Lenna,Doctrine Documentation Contributor,1
Nienow,Lenna,Composer Documentation Contributor,1
Nienow,Lenna,Twig Documentation Contributor,1
Nienow,Lenna,Silex Code Contributor,1
Nienow,Lenna,Monolog Documentation Contributor,1
Nienow,Lenna,Four year membership,2
Nienow,Lenna,Three year membership,2
Nienow,Lenna,Two year membership,1
Nienow,Lenna,One year membership,1
Weber,Diane,Twig Documentation Contributor,1
Weber,Diane,Silex Documentation Contributor,1
Weber,Diane,Swiftmailer Documentation Contributor,1
Weber,Diane,Attended a training on Symfony2 (level 3) at SensioLabs,2
Weber,Diane,Symfony Code Contributor,1
Weber,Diane,Doctrine Documentation Contributor,1
Weber,Diane,SensioLabs Certified Symfony Developer (Expert),3
Weber,Diane,SensioLabs Certified Symfony Developer (Advanced),2
Weber,Diane,Doctrine Code Contributor,1
Weber,Diane,Twig Code Contributor,1
Weber,Diane,Five year membership,3
Weber,Diane,Four year membership,2
Weber,Diane,Three year membership,2
Weber,Diane,Two year membership,1
Weber,Diane,One year membership,1
Legros,Wilton,SensioLabs Certified Symfony Developer (Expert),3
Legros,Wilton,Doctrine Documentation Contributor,1
Legros,Wilton,Silex Code Contributor,1
Legros,Wilton,Helped write a book about Symfony,3
Legros,Wilton,Symfony CMF Code Contributor,1
Legros,Wilton,Twig Documentation Contributor,1
Legros,Wilton,Composer Documentation Contributor,1
Legros,Wilton,Composer Code Contributor,1
Legros,Wilton,Monolog Documentation Contributor,1
Legros,Wilton,Doctrine Code Contributor,1
Legros,Wilton,Eight year membership,3
Legros,Wilton,Seven year membership,3
Legros,Wilton,Six year membership,3
Legros,Wilton,Five year membership,3
Legros,Wilton,Four year membership,2
Legros,Wilton,Three year membership,2
Legros,Wilton,Two year membership,1
Legros,Wilton,One year membership,1
Brekke,Rashawn,Helped write a book about Symfony,3
Brekke,Rashawn,Twig Documentation Contributor,1
Brekke,Rashawn,Symfony Documentation Contributor,1
Brekke,Rashawn,Five year membership,3
Brekke,Rashawn,Four year membership,2
Brekke,Rashawn,Three year membership,2
Brekke,Rashawn,Two year membership,1
Brekke,Rashawn,One year membership,1
Clement,Benjamin,SensioLabs Certified Symfony Developer (Advanced),2
Clement,Benjamin,Monolog Code Contributor,1
Clement,Benjamin,Symfony CMF Code Contributor,1
Clement,Benjamin,Composer Documentation Contributor,1
Clement,Benjamin,Monolog Documentation Contributor,1
Clement,Benjamin,Swiftmailer Code Contributor,1
Clement,Benjamin,Doctrine Code Contributor,1
Clement,Benjamin,Composer Code Contributor,1
Clement,Benjamin,Twig Documentation Contributor,1
Clement,Benjamin,Twig Code Contributor,1
Clement,Benjamin,Attended a training on Symfony2 (level 3) at SensioLabs,2
Lueilwitz,Beau,SensioLabs Certified Symfony Developer (Advanced),2
Lueilwitz,Beau,Swiftmailer Code Contributor,1
Lueilwitz,Beau,Symfony CMF Code Contributor,1
Lueilwitz,Beau,Attended a training on Symfony2 (level 3) at SensioLabs,2
Lueilwitz,Beau,Monolog Code Contributor,1
Lueilwitz,Beau,Twig Documentation Contributor,1
Lueilwitz,Beau,Monolog Documentation Contributor,1
Lueilwitz,Beau,Composer Code Contributor,1
Lueilwitz,Beau,Silex Documentation Contributor,1
Lueilwitz,Beau,Three year membership,2
Lueilwitz,Beau,Two year membership,1
Lueilwitz,Beau,One year membership,1
Wisozk,Montana,Doctrine Documentation Contributor,1
Wisozk,Montana,Doctrine Code Contributor,1
Wisozk,Montana,Swiftmailer Code Contributor,1
Wisozk,Montana,Composer Documentation Contributor,1
Wisozk,Montana,Swiftmailer Documentation Contributor,1
Wisozk,Montana,Twig Documentation Contributor,1
Wisozk,Montana,Twig Code Contributor,1
Wisozk,Montana,Three year membership,2
Wisozk,Montana,Two year membership,1
Wisozk,Montana,One year membership,1
Devaux,Clémence,Swiftmailer Documentation Contributor,1
Devaux,Clémence,Doctrine Documentation Contributor,1
Devaux,Clémence,Symfony Code Contributor,1
Devaux,Clémence,Composer Code Contributor,1
Devaux,Clémence,Monolog Documentation Contributor,1
Devaux,Clémence,Silex Documentation Contributor,1
Devaux,Clémence,Twig Code Contributor,1
Devaux,Clémence,Monolog Code Contributor,1
Devaux,Clémence,SensioLabs Certified Symfony Developer (Advanced),2
Devaux,Clémence,Three year membership,2
Devaux,Clémence,Two year membership,1
Devaux,Clémence,One year membership,1
Schumm,Joesph,Twig Code Contributor,1
Schumm,Joesph,Twig Documentation Contributor,1
Schumm,Joesph,Monolog Documentation Contributor,1
Schumm,Joesph,Composer Documentation Contributor,1
Schumm,Joesph,Doctrine Documentation Contributor,1
Schumm,Joesph,Helped write a book about Symfony,3
Schumm,Joesph,Swiftmailer Code Contributor,1
Schumm,Joesph,Composer Code Contributor,1
Schumm,Joesph,Doctrine Code Contributor,1
Schumm,Joesph,Attended a training on Symfony2 (level 3) at SensioLabs,2
Schumm,Joesph,Symfony CMF Code Contributor,1
Schumm,Joesph,Symfony Code Contributor,1
Schumm,Joesph,Four year membership,2
Schumm,Joesph,Three year membership,2
Schumm,Joesph,Two year membership,1
Schumm,Joesph,One year membership,1
Pires,Terrence,Doctrine Documentation Contributor,1
Pires,Terrence,Monolog Code Contributor,1
Pires,Terrence,Swiftmailer Code Contributor,1
Pires,Terrence,Attended a training on Symfony2 (level 3) at SensioLabs,2
Pires,Terrence,Twig Code Contributor,1
Pires,Terrence,One year membership,1
Schultz,Noelia,Doctrine Code Contributor,1
Schultz,Noelia,Symfony CMF Code Contributor,1
Schultz,Noelia,Helped write a book about Symfony,3
Schultz,Noelia,Monolog Documentation Contributor,1
Schultz,Noelia,Swiftmailer Documentation Contributor,1
Schultz,Noelia,Twig Documentation Contributor,1
Schultz,Noelia,Silex Code Contributor,1
Schultz,Noelia,Composer Documentation Contributor,1
Schultz,Noelia,SensioLabs Certified Symfony Developer (Advanced),2
Schultz,Noelia,Twig Code Contributor,1
Schultz,Noelia,Doctrine Documentation Contributor,1
Schultz,Noelia,Seven year membership,3
Schultz,Noelia,Six year membership,3
Schultz,Noelia,Five year membership,3
Schultz,Noelia,Four year membership,2
Schultz,Noelia,Three year membership,2
Schultz,Noelia,Two year membership,1
Schultz,Noelia,One year membership,1
Leleu,Ola,Symfony Documentation Contributor,1
Leleu,Ola,Swiftmailer Documentation Contributor,1
Leleu,Ola,Doctrine Documentation Contributor,1
Leleu,Ola,Silex Documentation Contributor,1
Leleu,Ola,Doctrine Code Contributor,1
Leleu,Ola,Twig Documentation Contributor,1
Leleu,Ola,Composer Code Contributor,1
Leleu,Ola,Symfony CMF Code Contributor,1
Leleu,Ola,Helped write a book about Symfony,3
Leleu,Ola,Six year membership,3
Leleu,Ola,Five year membership,3
Leleu,Ola,Four year membership,2
Leleu,Ola,Three year membership,2
Leleu,Ola,Two year membership,1
Leleu,Ola,One year membership,1
Johnson,Gage,Monolog Documentation Contributor,1
Johnson,Gage,Silex Code Contributor,1
Johnson,Gage,Twig Documentation Contributor,1
Johnson,Gage,Symfony Documentation Contributor,1
Johnson,Gage,Swiftmailer Code Contributor,1
Johnson,Gage,Doctrine Code Contributor,1
Johnson,Gage,SensioLabs Certified Symfony Developer (Advanced),2
Johnson,Gage,Doctrine Documentation Contributor,1
Johnson,Gage,SensioLabs Certified Symfony Developer (Expert),3
Johnson,Gage,Symfony Code Contributor,1
Johnson,Gage,Silex Documentation Contributor,1
Johnson,Gage,Swiftmailer Documentation Contributor,1
Johnson,Gage,Twig Code Contributor,1
Johnson,Gage,One year membership,1
Charpentier,Adelbert,Doctrine Documentation Contributor,1
Charpentier,Adelbert,Attended a training on Symfony2 (level 3) at SensioLabs,2
Charpentier,Adelbert,Symfony CMF Code Contributor,1
Charpentier,Adelbert,SensioLabs Certified Symfony Developer (Advanced),2
Charpentier,Adelbert,Monolog Documentation Contributor,1
Charpentier,Adelbert,Composer Code Contributor,1
Charpentier,Adelbert,Composer Documentation Contributor,1
Charpentier,Adelbert,Seven year membership,3
Charpentier,Adelbert,Six year membership,3
Charpentier,Adelbert,Five year membership,3
Charpentier,Adelbert,Four year membership,2
Charpentier,Adelbert,Three year membership,2
Charpentier,Adelbert,Two year membership,1
Charpentier,Adelbert,One year membership,1
Marks,Litzy,SensioLabs Certified Symfony Developer (Advanced),2
Marks,Litzy,Symfony Documentation Contributor,1
Marks,Litzy,Symfony CMF Code Contributor,1
Marks,Litzy,Swiftmailer Documentation Contributor,1
Marks,Litzy,Composer Code Contributor,1
Marks,Litzy,Silex Code Contributor,1
Marks,Litzy,Swiftmailer Code Contributor,1
Marks,Litzy,Attended a training on Symfony2 (level 3) at SensioLabs,2
Marks,Litzy,Silex Documentation Contributor,1
Marks,Litzy,Twig Code Contributor,1
Marks,Litzy,Doctrine Code Contributor,1
Marks,Litzy,Monolog Documentation Contributor,1
Marks,Litzy,Composer Documentation Contributor,1
Marks,Litzy,Eight year membership,3
Marks,Litzy,Seven year membership,3
Marks,Litzy,Six year membership,3
Marks,Litzy,Five year membership,3
Marks,Litzy,Four year membership,2
Marks,Litzy,Three year membership,2
Marks,Litzy,Two year membership,1
Marks,Litzy,One year membership,1
Goncalves,Yessenia,Doctrine Documentation Contributor,1
Goncalves,Yessenia,Helped write a book about Symfony,3
Goncalves,Yessenia,Doctrine Code Contributor,1
Goncalves,Yessenia,Monolog Documentation Contributor,1
Goncalves,Yessenia,Symfony Code Contributor,1
Goncalves,Yessenia,Twig Code Contributor,1
Goncalves,Yessenia,Symfony Documentation Contributor,1
Goncalves,Yessenia,Twig Documentation Contributor,1
Goncalves,Yessenia,Silex Code Contributor,1
Goncalves,Yessenia,Monolog Code Contributor,1
Goncalves,Yessenia,Attended a training on Symfony2 (level 3) at SensioLabs,2
Goncalves,Yessenia,Composer Documentation Contributor,1
Goncalves,Yessenia,Swiftmailer Code Contributor,1
Goncalves,Yessenia,Eight year membership,3
Goncalves,Yessenia,Seven year membership,3
Goncalves,Yessenia,Six year membership,3
Goncalves,Yessenia,Five year membership,3
Goncalves,Yessenia,Four year membership,2
Goncalves,Yessenia,Three year membership,2
Goncalves,Yessenia,Two year membership,1
Goncalves,Yessenia,One year membership,1
Gay,Reed,Doctrine Documentation Contributor,1
Gay,Reed,Doctrine Code Contributor,1
Gay,Reed,Symfony Code Contributor,1
Gay,Reed,Swiftmailer Code Contributor,1
Gay,Reed,Symfony CMF Code Contributor,1
Gay,Reed,SensioLabs Certified Symfony Developer (Advanced),2
Gay,Reed,Helped write a book about Symfony,3
Gay,Reed,Silex Documentation Contributor,1
Gay,Reed,Silex Code Contributor,1
Gay,Reed,Attended a training on Symfony2 (level 3) at SensioLabs,2
Gay,Reed,SensioLabs Certified Symfony Developer (Expert),3
Gay,Reed,Monolog Documentation Contributor,1
Gay,Reed,Symfony Documentation Contributor,1
Gay,Reed,Monolog Code Contributor,1
Gay,Reed,Three year membership,2
Gay,Reed,Two year membership,1
Gay,Reed,One year membership,1
Leblanc,Juwan,Attended a training on Symfony2 (level 3) at SensioLabs,2
Leblanc,Juwan,SensioLabs Certified Symfony Developer (Advanced),2
Leblanc,Juwan,Swiftmailer Code Contributor,1
Leblanc,Juwan,Five year membership,3
Leblanc,Juwan,Four year membership,2
Leblanc,Juwan,Three year membership,2
Leblanc,Juwan,Two year membership,1
Leblanc,Juwan,One year membership,1
Nader,Angelina,Monolog Documentation Contributor,1
Nader,Angelina,Attended a training on Symfony2 (level 3) at SensioLabs,2
Nader,Angelina,Swiftmailer Code Contributor,1
Nader,Angelina,Composer Code Contributor,1
Nader,Angelina,Monolog Code Contributor,1
Nader,Angelina,Symfony Code Contributor,1
Nader,Angelina,Symfony Documentation Contributor,1
Nader,Angelina,SensioLabs Certified Symfony Developer (Advanced),2
Nader,Angelina,Six year membership,3
Nader,Angelina,Five year membership,3
Nader,Angelina,Four year membership,2
Nader,Angelina,Three year membership,2
Nader,Angelina,Two year membership,1
Nader,Angelina,One year membership,1
Heidenreich,Tracy,Composer Documentation Contributor,1
Heidenreich,Tracy,SensioLabs Certified Symfony Developer (Advanced),2
Heidenreich,Tracy,SensioLabs Certified Symfony Developer (Expert),3
Heidenreich,Tracy,Doctrine Documentation Contributor,1
Heidenreich,Tracy,Attended a training on Symfony2 (level 3) at SensioLabs,2
Heidenreich,Tracy,Symfony CMF Code Contributor,1
Heidenreich,Tracy,Monolog Documentation Contributor,1
Heidenreich,Tracy,Doctrine Code Contributor,1
Heidenreich,Tracy,Swiftmailer Documentation Contributor,1
Heidenreich,Tracy,Monolog Code Contributor,1
Heidenreich,Tracy,Six year membership,3
Heidenreich,Tracy,Five year membership,3
Heidenreich,Tracy,Four year membership,2
Heidenreich,Tracy,Three year membership,2
Heidenreich,Tracy,Two year membership,1
Heidenreich,Tracy,One year membership,1
Beier,Oral,Swiftmailer Code Contributor,1
Beier,Oral,Composer Documentation Contributor,1
Beier,Oral,Symfony Documentation Contributor,1
Beier,Oral,Twig Documentation Contributor,1
Beier,Oral,Attended a training on Symfony2 (level 3) at SensioLabs,2
Beier,Oral,Five year membership,3
Beier,Oral,Four year membership,2
Beier,Oral,Three year membership,2
Beier,Oral,Two year membership,1
Beier,Oral,One year membership,1
Auer,Felton,Doctrine Code Contributor,1
Auer,Felton,Symfony Documentation Contributor,1
Auer,Felton,SensioLabs Certified Symfony Developer (Advanced),2
Auer,Felton,Silex Code Contributor,1
Auer,Felton,Twig Code Contributor,1
Auer,Felton,Monolog Code Contributor,1
Auer,Felton,Swiftmailer Code Contributor,1
Auer,Felton,Doctrine Documentation Contributor,1
Auer,Felton,Helped write a book about Symfony,3
Auer,Felton,Twig Documentation Contributor,1
Guillet,Darlene,Swiftmailer Code Contributor,1
Guillet,Darlene,Swiftmailer Documentation Contributor,1
Guillet,Darlene,Doctrine Documentation Contributor,1
Guillet,Darlene,Silex Code Contributor,1
Guillet,Darlene,Doctrine Code Contributor,1
Guillet,Darlene,Attended a training on Symfony2 (level 3) at SensioLabs,2
Guillet,Darlene,Helped write a book about Symfony,3
Guillet,Darlene,Composer Code Contributor,1
Guillet,Darlene,Silex Documentation Contributor,1
Guillet,Darlene,Symfony Documentation Contributor,1
Guillet,Darlene,SensioLabs Certified Symfony Developer (Expert),3
